ID,Hylak_id,latitude,longitude,Name,Type,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
1945,878,8.9696,-74.8021,Cienaga Mogua, Lake,Colombia,South America,SWBD,1,0,199.42,372.74,7.4499998,251.39,0,3,1.3,449.27,6.5,11,0.27,16920.7,-74.769634,9.019717
578,34,58.5797,-112.0468,Claire, Lake,Canada,North America,CanVec,1,0,1332.93,642.99,4.9699998,1700,0,1,1.3,46.537,422.8,207,-1,21416.2,-111.703703,58.628837
312,228,67.1547,-125.95,Colville,Unkownn,Canada,North America,CanVec,1,0,448.2,176.21,2.3499999,6512.58,0,3,14.5,8.989,8385.5,229,1.89,2635.4,-125.72769,67.238481
438,1243,47.5914,9.4544,Constance, Lake,Switzerland,Europe,SWBD,1,0,522.02,284.79,3.52,49000,0,1,93.9000015,348.747,1626.2,392,-1,11459.7,8.862084,47.656955
2232,180641,0.6349,112.4541,Danau Tang, Lake,Indonesia,Asia,SWBD,1,0,7.43,23.67,2.45,32.98,0,3,4.4000001,7.558,50.5,23,1.42,98.1,112.45738,0.639583
8771,929,-18.2974,-48.9039,das Brisas, Reservoir,Brazil,South America,SWBD,2,2376,333.17,859.37,13.2799997,17000,17000,2,51,1148.952,171.3,504,2.96,94788.5,-49.096387,-18.407776
3669,172670,40.627,87.4693,Daxi Haizi, Reservoir,China,Asia,SWBD,1,0,1.39,8.84,2.1099999,0.76,0,3,0.5,0.009,974.1,854,0.21,27.7,87.48696,40.620344
1594,1648,-23.4223,122.7214,Disappointment, Lake,Australia,Oceania,SWBD,1,0,647.6,593.1,6.5700002,323.8,0,1,0.5,0,-1,325,-1,50103.9,122.710417,-23.410417
1454,1645,-22.1047,123.0215,Dora, Lake,Australia,Oceania,SWBD,1,0,298.12,211.25,3.45,1864.78,0,3,6.3000002,0,-1,237,1,15776,122.977083,-22.072917
197,547,54.7711,-107.2952,Dore, Lake,Canada,North America,CanVec,1,0,627.55,268.49,3.02,6840.33,0,1,10.8999996,1.941,40788.5,454,-1,2524.2,-107.586458,54.705994
260,26,63.0596,-101.4999,Dubawnt,Unkownn,Canada,North America,CanVec,1,0,3583.21,2557.78,12.0500002,91327.16,0,1,25.5,290.868,3634,218,-1,54612.5,-100.699367,63.570114
10322,787,40.6273,-120.7541,Eagle, Lake,United States of America,North America,SWBD,1,0,100.73,87.19,2.45,3156,0,3,31.2999992,1.728,21138.7,1556,5.23,1122.4,-120.727083,40.652083
86,162,-0.3213,29.6109,Edward, Lake,Democratic Republic of the Congo,Africa,SWBD,1,0,2241.98,307.35,1.83,76700,0,1,34.2000008,194.543,4563.2,912,-1,26839,29.602017,-0.140928
8770,930,-18.4383,-47.829,Emborcacao, Reservoir,Brazil,South America,SWBD,2,2377,206.21,573.95,11.2799997,17590,17590,2,85.3000031,351.146,579.8,633,3.9200001,29099.5,-47.984377,-18.446974
10307,172256,41.922,-7.9328,Encoro de Salas, Reservoir,Spain,Europe,SWBD,2,2711,2.82,16.03,2.6900001,86.7,86.7,2,30.7999992,3.957,253.6,820,3.53,151.1,-7.942014,41.92527
6,9,42.1883,-81.501,Erie, Lake,United States of America,North America,SWBD,1,0,25767.79,1935.52,3.4000001,499000,0,1,19.3999996,9796.883,589.5,172,-1,679903.4,-78.908084,42.904334
